Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Genome,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL
13686,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus avisplnec,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305022
13687,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus chisyn,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305007
13688,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus felleu,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305008
13689,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus fibijimursar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305009
13690,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus gibleu,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305011
13691,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus Hamursar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305014
13692,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus hazufelsar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305013
13693,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus Kimursar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305015
13694,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus koa,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305016
13695,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus momursar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305017
13696,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus murleu,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305018
13697,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus porConc,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305019
13698,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus snythefelsar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305021
13699,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Gammaretrovirus,,Gammaretrovirus woomonsar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305024
13700,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus bovimdef,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305026
